profile,count,residue_q8
RTL_CURRENT_22,0,-258
RTL_CURRENT_22,1,-194
RTL_CURRENT_22,2,-158
RTL_CURRENT_22,3,-131
RTL_CURRENT_22,4,-110
RTL_CURRENT_22,5,-91
RTL_CURRENT_22,6,-74
RTL_CURRENT_22,7,-58
RTL_CURRENT_22,8,-43
RTL_CURRENT_22,9,-28
RTL_CURRENT_22,10,-14
RTL_CURRENT_22,11,0
RTL_CURRENT_22,12,14
RTL_CURRENT_22,13,28
RTL_CURRENT_22,14,43
RTL_CURRENT_22,15,58
RTL_CURRENT_22,16,74
RTL_CURRENT_22,17,91
RTL_CURRENT_22,18,110
RTL_CURRENT_22,19,131
RTL_CURRENT_22,20,158
RTL_CURRENT_22,21,194
RTL_CURRENT_22,22,258
POSTERIOR_RAMP_22,0,-113
POSTERIOR_RAMP_22,1,-109
POSTERIOR_RAMP_22,2,-105
POSTERIOR_RAMP_22,3,-100
POSTERIOR_RAMP_22,4,-93
POSTERIOR_RAMP_22,5,-83
POSTERIOR_RAMP_22,6,-72
POSTERIOR_RAMP_22,7,-58
POSTERIOR_RAMP_22,8,-44
POSTERIOR_RAMP_22,9,-29
POSTERIOR_RAMP_22,10,-15
POSTERIOR_RAMP_22,11,0
POSTERIOR_RAMP_22,12,15
POSTERIOR_RAMP_22,13,29
POSTERIOR_RAMP_22,14,44
POSTERIOR_RAMP_22,15,58
POSTERIOR_RAMP_22,16,72
POSTERIOR_RAMP_22,17,83
POSTERIOR_RAMP_22,18,93
POSTERIOR_RAMP_22,19,100
POSTERIOR_RAMP_22,20,105
POSTERIOR_RAMP_22,21,109
POSTERIOR_RAMP_22,22,113
POSTERIOR_RAMP_128,0,-125
POSTERIOR_RAMP_128,1,-125
POSTERIOR_RAMP_128,2,-124
POSTERIOR_RAMP_128,3,-124
POSTERIOR_RAMP_128,4,-124
POSTERIOR_RAMP_128,5,-124
POSTERIOR_RAMP_128,6,-124
POSTERIOR_RAMP_128,7,-123
POSTERIOR_RAMP_128,8,-123
POSTERIOR_RAMP_128,9,-123
POSTERIOR_RAMP_128,10,-122
POSTERIOR_RAMP_128,11,-122
POSTERIOR_RAMP_128,12,-122
POSTERIOR_RAMP_128,13,-121
POSTERIOR_RAMP_128,14,-121
POSTERIOR_RAMP_128,15,-120
POSTERIOR_RAMP_128,16,-119
POSTERIOR_RAMP_128,17,-118
POSTERIOR_RAMP_128,18,-117
POSTERIOR_RAMP_128,19,-116
POSTERIOR_RAMP_128,20,-115
POSTERIOR_RAMP_128,21,-114
POSTERIOR_RAMP_128,22,-112
POSTERIOR_RAMP_128,23,-110
POSTERIOR_RAMP_128,24,-108
POSTERIOR_RAMP_128,25,-106
POSTERIOR_RAMP_128,26,-104
POSTERIOR_RAMP_128,27,-101
POSTERIOR_RAMP_128,28,-98
POSTERIOR_RAMP_128,29,-95
POSTERIOR_RAMP_128,30,-92
POSTERIOR_RAMP_128,31,-89
POSTERIOR_RAMP_128,32,-86
POSTERIOR_RAMP_128,33,-83
POSTERIOR_RAMP_128,34,-80
POSTERIOR_RAMP_128,35,-77
POSTERIOR_RAMP_128,36,-74
POSTERIOR_RAMP_128,37,-71
POSTERIOR_RAMP_128,38,-68
POSTERIOR_RAMP_128,39,-65
POSTERIOR_RAMP_128,40,-63
POSTERIOR_RAMP_128,41,-60
POSTERIOR_RAMP_128,42,-57
POSTERIOR_RAMP_128,43,-54
POSTERIOR_RAMP_128,44,-52
POSTERIOR_RAMP_128,45,-49
POSTERIOR_RAMP_128,46,-46
POSTERIOR_RAMP_128,47,-44
POSTERIOR_RAMP_128,48,-41
POSTERIOR_RAMP_128,49,-38
POSTERIOR_RAMP_128,50,-36
POSTERIOR_RAMP_128,51,-33
POSTERIOR_RAMP_128,52,-30
POSTERIOR_RAMP_128,53,-28
POSTERIOR_RAMP_128,54,-25
POSTERIOR_RAMP_128,55,-23
POSTERIOR_RAMP_128,56,-20
POSTERIOR_RAMP_128,57,-18
POSTERIOR_RAMP_128,58,-15
POSTERIOR_RAMP_128,59,-13
POSTERIOR_RAMP_128,60,-10
POSTERIOR_RAMP_128,61,-8
POSTERIOR_RAMP_128,62,-5
POSTERIOR_RAMP_128,63,-3
POSTERIOR_RAMP_128,64,0
POSTERIOR_RAMP_128,65,3
POSTERIOR_RAMP_128,66,5
POSTERIOR_RAMP_128,67,8
POSTERIOR_RAMP_128,68,10
POSTERIOR_RAMP_128,69,13
POSTERIOR_RAMP_128,70,15
POSTERIOR_RAMP_128,71,18
POSTERIOR_RAMP_128,72,20
POSTERIOR_RAMP_128,73,23
POSTERIOR_RAMP_128,74,25
POSTERIOR_RAMP_128,75,28
POSTERIOR_RAMP_128,76,30
POSTERIOR_RAMP_128,77,33
POSTERIOR_RAMP_128,78,36
POSTERIOR_RAMP_128,79,38
POSTERIOR_RAMP_128,80,41
POSTERIOR_RAMP_128,81,44
POSTERIOR_RAMP_128,82,46
POSTERIOR_RAMP_128,83,49
POSTERIOR_RAMP_128,84,52
POSTERIOR_RAMP_128,85,54
POSTERIOR_RAMP_128,86,57
POSTERIOR_RAMP_128,87,60
POSTERIOR_RAMP_128,88,63
POSTERIOR_RAMP_128,89,65
POSTERIOR_RAMP_128,90,68
POSTERIOR_RAMP_128,91,71
POSTERIOR_RAMP_128,92,74
POSTERIOR_RAMP_128,93,77
POSTERIOR_RAMP_128,94,80
POSTERIOR_RAMP_128,95,83
POSTERIOR_RAMP_128,96,86
POSTERIOR_RAMP_128,97,89
POSTERIOR_RAMP_128,98,92
POSTERIOR_RAMP_128,99,95
POSTERIOR_RAMP_128,100,98
POSTERIOR_RAMP_128,101,101
POSTERIOR_RAMP_128,102,104
POSTERIOR_RAMP_128,103,106
POSTERIOR_RAMP_128,104,108
POSTERIOR_RAMP_128,105,110
POSTERIOR_RAMP_128,106,112
POSTERIOR_RAMP_128,107,114
POSTERIOR_RAMP_128,108,115
POSTERIOR_RAMP_128,109,116
POSTERIOR_RAMP_128,110,117
POSTERIOR_RAMP_128,111,118
POSTERIOR_RAMP_128,112,119
POSTERIOR_RAMP_128,113,120
POSTERIOR_RAMP_128,114,121
POSTERIOR_RAMP_128,115,121
POSTERIOR_RAMP_128,116,122
POSTERIOR_RAMP_128,117,122
POSTERIOR_RAMP_128,118,122
POSTERIOR_RAMP_128,119,123
POSTERIOR_RAMP_128,120,123
POSTERIOR_RAMP_128,121,123
POSTERIOR_RAMP_128,122,124
POSTERIOR_RAMP_128,123,124
POSTERIOR_RAMP_128,124,124
POSTERIOR_RAMP_128,125,124
POSTERIOR_RAMP_128,126,124
POSTERIOR_RAMP_128,127,125
POSTERIOR_RAMP_128,128,125
