bit_lsb_first,nominal_q8,physical_q8,self_cal_q8,external_sine_q8,nominal_error_lsb,self_cal_error_lsb,external_sine_error_lsb
0,256.0,252.44862979485015,256.0,255.33630115542448,0.013872539863866606,0.013872539863866606,0.011279966252243478
1,512.0,515.2829970723863,512.0,511.6612299742738,-0.012824207314008795,-0.012824207314008795,-0.014147527727001785
2,1024.0,1016.3859062401004,1024.0,1017.4850198395034,0.02974255374960766,0.02974255374960766,0.004293412497667681
3,2048.0,2041.2175083758673,2048.0,2037.1593637816752,0.026494107906768427,0.026494107906768427,-0.01585212732106278
4,4096.0,4065.0174379263512,4096.0,4044.153894338317,0.12102563310019043,0.12102563310019043,-0.08149821714075856
5,8192.0,8146.362212151884,8192.0,8126.352545722284,0.17827260878170392,0.17827260878170392,-0.07816275949062401
6,8582.4,8539.341935339982,8424.0,8539.51313171678,0.168195565078193,-0.4505544349218056,0.0006687358468653315
7,17164.8,17204.146424709557,17016.0,17201.728177125584,-0.15369697152171113,-0.7349469715217083,-0.009446279624896192
8,34329.6,34458.88840273659,34044.0,34451.76258066576,-0.505032823189822,-1.6206578231898163,-0.027835242464192334
9,68659.2,68625.44400489231,67840.0,68612.37193190149,0.13185935588938946,-3.068140644110599,-0.05106278512039353
10,81128.07999999999,80042.21104618562,79028.0,80031.50277594976,4.241675600837368,-3.961761899162582,-0.04182918060882912
11,81128.07999999999,80548.28906657505,79466.0,80537.4992855248,2.264808333691178,-4.227691666308772,-0.042147582227528346
12,162256.15999999997,162668.72744551284,160470.0,162646.2476308473,-1.6115915840346133,-8.588779084034513,-0.0878117760372561
13,324512.31999999995,325378.74388096563,320980.0,325337.7680322355,-3.3844682850221943,-17.182593285021994,-0.16006190910206897
14,649024.6399999999,647961.8908196411,639194.0,647886.0329129888,4.1513639857766975,-34.2495735142229,-0.29631994786041105
15,1287958.2146666665,1284270.732002462,1266968.0,1284114.3510382783,14.404229157048576,-67.5887968846173,-0.6108631413426338
16,1287958.2146666665,1290319.05420652,1272920.0,1290159.358964892,-9.222029452553215,-67.96505549421909,-0.6238095376093042
17,2575916.429333333,2568595.9023546865,2533878.0,2568275.9967980143,28.59580851033752,-135.61680607299422,-1.2496310807509872
18,5151832.858666666,5157501.101061305,5087870.0,5156855.486079349,-22.141571854059293,-271.9964885207228,-2.5219335232650337
19,10303665.717333332,10310888.033440918,10171620.0,10309602.946972365,-28.212172295257915,-544.0157556285849,-5.0198690177858225
